file_name,label
parallel_wave_gan/6000_55211_000050_000001_gen,spoof
parallel_wave_gan/5750_100289_000002_000003_gen,spoof
parallel_wave_gan/27_124992_000020_000001_gen,spoof
parallel_wave_gan/6147_34605_000032_000000_gen,spoof
parallel_wave_gan/2893_139322_000003_000007_gen,spoof
parallel_wave_gan/7113_86041_000003_000006_gen,spoof
parallel_wave_gan/6848_76049_000024_000007_gen,spoof
parallel_wave_gan/6147_34605_000009_000020_gen,spoof
parallel_wave_gan/3830_12531_000024_000002_gen,spoof
parallel_wave_gan/2196_170151_000009_000002_gen,spoof
parallel_wave_gan/196_122150_000001_000001_gen,spoof
parallel_wave_gan/7800_283493_000067_000005_gen,spoof
parallel_wave_gan/3259_158083_000062_000000_gen,spoof
parallel_wave_gan/6836_61803_000031_000000_gen,spoof
parallel_wave_gan/1363_139304_000021_000003_gen,spoof
parallel_wave_gan/2182_181173_000021_000000_gen,spoof
parallel_wave_gan/6019_3185_000011_000001_gen,spoof
parallel_wave_gan/460_172359_000056_000003_gen,spoof
parallel_wave_gan/7059_77897_000030_000001_gen,spoof
parallel_wave_gan/2836_5355_000096_000006_gen,spoof
parallel_wave_gan/8095_274348_000001_000002_gen,spoof
parallel_wave_gan/1069_133699_000067_000003_gen,spoof
parallel_wave_gan/4160_11550_000049_000002_gen,spoof
parallel_wave_gan/7059_77897_000027_000001_gen,spoof
parallel_wave_gan/87_121553_000251_000000_gen,spoof
parallel_wave_gan/87_121553_000014_000000_gen,spoof
parallel_wave_gan/6147_34605_000008_000004_gen,spoof
parallel_wave_gan/3830_12535_000010_000001_gen,spoof
parallel_wave_gan/2436_2481_000057_000001_gen,spoof
parallel_wave_gan/2518_154825_000021_000003_gen,spoof
parallel_wave_gan/125_121124_000028_000003_gen,spoof
parallel_wave_gan/2002_139469_000012_000004_gen,spoof
parallel_wave_gan/87_121553_000011_000000_gen,spoof
parallel_wave_gan/1069_133699_000069_000001_gen,spoof
parallel_wave_gan/412_126975_000034_000001_gen,spoof
parallel_wave_gan/8580_287364_000077_000000_gen,spoof
parallel_wave_gan/8051_118101_000005_000002_gen,spoof
parallel_wave_gan/7505_258964_000016_000000_gen,spoof
parallel_wave_gan/8123_275209_000004_000000_gen,spoof
parallel_wave_gan/887_123290_000025_000004_gen,spoof
parallel_wave_gan/4137_11702_000092_000000_gen,spoof
parallel_wave_gan/696_93314_000027_000000_gen,spoof
parallel_wave_gan/7178_34645_000015_000000_gen,spoof
parallel_wave_gan/2843_152918_000000_000006_gen,spoof
parallel_wave_gan/1183_128659_000025_000001_gen,spoof
parallel_wave_gan/6147_34607_000009_000003_gen,spoof
parallel_wave_gan/2136_5140_000028_000002_gen,spoof
parallel_wave_gan/7517_100437_000008_000007_gen,spoof
parallel_wave_gan/8770_295465_000038_000000_gen,spoof
parallel_wave_gan/5561_41615_000003_000001_gen,spoof
parallel_wave_gan/8238_283452_000024_000006_gen,spoof
parallel_wave_gan/2911_15084_000007_000004_gen,spoof
parallel_wave_gan/1246_124548_000028_000003_gen,spoof
parallel_wave_gan/2196_174172_000003_000014_gen,spoof
parallel_wave_gan/7178_34645_000035_000004_gen,spoof
parallel_wave_gan/8770_295462_000050_000000_gen,spoof
parallel_wave_gan/87_121553_000247_000000_gen,spoof
parallel_wave_gan/6415_111615_000004_000003_gen,spoof
parallel_wave_gan/2002_139469_000011_000000_gen,spoof
parallel_wave_gan/2092_145706_000033_000001_gen,spoof
parallel_wave_gan/7367_86737_000131_000016_gen,spoof
parallel_wave_gan/8088_284756_000019_000001_gen,spoof
parallel_wave_gan/6836_76549_000004_000013_gen,spoof
parallel_wave_gan/2196_170379_000008_000002_gen,spoof
parallel_wave_gan/2002_139469_000013_000002_gen,spoof
parallel_wave_gan/831_130746_000076_000000_gen,spoof
parallel_wave_gan/7794_295947_000022_000000_gen,spoof
parallel_wave_gan/8123_275216_000039_000001_gen,spoof
parallel_wave_gan/2416_152139_000078_000000_gen,spoof
parallel_wave_gan/8465_246947_000027_000001_gen,spoof
parallel_wave_gan/3879_174923_000002_000004_gen,spoof
parallel_wave_gan/27_124992_000015_000001_gen,spoof
parallel_wave_gan/730_360_000018_000003_gen,spoof
parallel_wave_gan/8098_278278_000019_000006_gen,spoof
parallel_wave_gan/1355_39947_000002_000002_gen,spoof
parallel_wave_gan/4397_15666_000008_000002_gen,spoof
parallel_wave_gan/7505_83618_000001_000002_gen,spoof
parallel_wave_gan/2893_139310_000004_000000_gen,spoof
parallel_wave_gan/5750_100289_000010_000001_gen,spoof
parallel_wave_gan/60_121082_000068_000000_gen,spoof
parallel_wave_gan/7447_91186_000029_000005_gen,spoof
parallel_wave_gan/3486_166424_000009_000000_gen,spoof
parallel_wave_gan/3526_176653_000071_000003_gen,spoof
parallel_wave_gan/8088_284756_000038_000002_gen,spoof
parallel_wave_gan/1263_141777_000032_000002_gen,spoof
parallel_wave_gan/6064_56165_000061_000000_gen,spoof
parallel_wave_gan/8468_286673_000008_000001_gen,spoof
parallel_wave_gan/1263_141777_000036_000000_gen,spoof
parallel_wave_gan/6385_34669_000026_000002_gen,spoof
parallel_wave_gan/6078_54007_000044_000000_gen,spoof
parallel_wave_gan/196_122152_000009_000004_gen,spoof
parallel_wave_gan/730_358_000001_000002_gen,spoof
parallel_wave_gan/3436_172162_000018_000000_gen,spoof
parallel_wave_gan/32_4137_000006_000008_gen,spoof
parallel_wave_gan/8770_295463_000010_000000_gen,spoof
parallel_wave_gan/6415_116629_000017_000012_gen,spoof
parallel_wave_gan/3526_175658_000008_000001_gen,spoof
parallel_wave_gan/3982_182255_000066_000003_gen,spoof
parallel_wave_gan/7264_92316_000029_000000_gen,spoof
parallel_wave_gan/1263_139804_000007_000000_gen,spoof
parallel_wave_gan/196_122152_000005_000009_gen,spoof
parallel_wave_gan/426_122821_000053_000001_gen,spoof
parallel_wave_gan/2836_5355_000035_000000_gen,spoof
parallel_wave_gan/7190_90542_000091_000000_gen,spoof
parallel_wave_gan/7511_102420_000020_000003_gen,spoof
parallel_wave_gan/201_127786_000020_000000_gen,spoof
parallel_wave_gan/8468_286673_000021_000001_gen,spoof
parallel_wave_gan/7800_283478_000021_000000_gen,spoof
parallel_wave_gan/8747_293952_000077_000001_gen,spoof
parallel_wave_gan/4267_287369_000017_000000_gen,spoof
parallel_wave_gan/7447_91186_000015_000004_gen,spoof
parallel_wave_gan/5561_39621_000015_000000_gen,spoof
parallel_wave_gan/7367_86737_000130_000000_gen,spoof
parallel_wave_gan/4397_15668_000015_000001_gen,spoof
parallel_wave_gan/7447_91187_000019_000001_gen,spoof
parallel_wave_gan/7800_283493_000053_000002_gen,spoof
parallel_wave_gan/3242_67153_000019_000000_gen,spoof
parallel_wave_gan/200_124139_000030_000000_gen,spoof
parallel_wave_gan/7178_34644_000010_000000_gen,spoof
parallel_wave_gan/4160_14187_000045_000000_gen,spoof
parallel_wave_gan/3699_47246_000011_000001_gen,spoof
parallel_wave_gan/7447_91186_000015_000000_gen,spoof
parallel_wave_gan/1088_134315_000024_000005_gen,spoof
parallel_wave_gan/696_93314_000012_000007_gen,spoof
parallel_wave_gan/5163_39921_000033_000000_gen,spoof
parallel_wave_gan/4195_186238_000025_000000_gen,spoof
parallel_wave_gan/3526_176653_000062_000001_gen,spoof
parallel_wave_gan/8630_305213_000020_000001_gen,spoof
parallel_wave_gan/8324_286682_000041_000000_gen,spoof
parallel_wave_gan/1867_154075_000017_000001_gen,spoof
parallel_wave_gan/6078_54007_000059_000001_gen,spoof
parallel_wave_gan/5163_39921_000024_000001_gen,spoof
parallel_wave_gan/6209_34601_000096_000077_gen,spoof
parallel_wave_gan/8088_284756_000174_000001_gen,spoof
parallel_wave_gan/4195_17507_000045_000000_gen,spoof
parallel_wave_gan/3526_175658_000011_000000_gen,spoof
parallel_wave_gan/4137_11702_000071_000001_gen,spoof
parallel_wave_gan/6064_56168_000002_000004_gen,spoof
parallel_wave_gan/3830_12531_000010_000001_gen,spoof
parallel_wave_gan/7402_90848_000056_000001_gen,spoof
parallel_wave_gan/6836_61804_000013_000002_gen,spoof
parallel_wave_gan/40_222_000002_000006_gen,spoof
parallel_wave_gan/7505_258964_000021_000004_gen,spoof
parallel_wave_gan/2836_5355_000008_000000_gen,spoof
parallel_wave_gan/7447_91186_000028_000000_gen,spoof
parallel_wave_gan/5867_48852_000069_000002_gen,spoof
parallel_wave_gan/6272_70168_000038_000000_gen,spoof
parallel_wave_gan/7505_258964_000014_000001_gen,spoof
parallel_wave_gan/4830_25898_000018_000004_gen,spoof
parallel_wave_gan/7190_90542_000002_000000_gen,spoof
parallel_wave_gan/6064_56168_000002_000000_gen,spoof
parallel_wave_gan/3259_158083_000076_000001_gen,spoof
parallel_wave_gan/1502_122615_000008_000003_gen,spoof
parallel_wave_gan/8123_275216_000005_000000_gen,spoof
parallel_wave_gan/5678_43302_000025_000002_gen,spoof
parallel_wave_gan/8468_286673_000024_000001_gen,spoof
parallel_wave_gan/4788_91208_000006_000004_gen,spoof
parallel_wave_gan/8838_298545_000034_000006_gen,spoof
parallel_wave_gan/2092_145706_000034_000001_gen,spoof
parallel_wave_gan/6147_34605_000005_000007_gen,spoof
parallel_wave_gan/6367_65536_000027_000003_gen,spoof
parallel_wave_gan/7505_258964_000034_000000_gen,spoof
parallel_wave_gan/7505_258958_000013_000001_gen,spoof
parallel_wave_gan/460_172359_000053_000000_gen,spoof
parallel_wave_gan/6415_100596_000040_000000_gen,spoof
parallel_wave_gan/8312_279790_000018_000003_gen,spoof
parallel_wave_gan/40_222_000011_000006_gen,spoof
parallel_wave_gan/8797_294123_000022_000009_gen,spoof
parallel_wave_gan/8238_274553_000008_000008_gen,spoof
parallel_wave_gan/1088_134315_000049_000000_gen,spoof
parallel_wave_gan/200_126784_000030_000000_gen,spoof
parallel_wave_gan/3242_67153_000015_000000_gen,spoof
parallel_wave_gan/3240_131231_000018_000009_gen,spoof
parallel_wave_gan/1355_39947_000025_000004_gen,spoof
parallel_wave_gan/6529_62554_000017_000004_gen,spoof
parallel_wave_gan/8770_295462_000011_000000_gen,spoof
parallel_wave_gan/3983_5371_000004_000005_gen,spoof
parallel_wave_gan/200_126784_000073_000000_gen,spoof
parallel_wave_gan/8609_262281_000057_000002_gen,spoof
parallel_wave_gan/26_496_000026_000000_gen,spoof
parallel_wave_gan/6454_93938_000031_000001_gen,spoof
parallel_wave_gan/8088_284756_000017_000000_gen,spoof
parallel_wave_gan/4406_16882_000008_000003_gen,spoof
parallel_wave_gan/6437_66172_000021_000003_gen,spoof
parallel_wave_gan/6081_42010_000005_000003_gen,spoof
parallel_wave_gan/696_92939_000020_000000_gen,spoof
parallel_wave_gan/27_124992_000128_000001_gen,spoof
parallel_wave_gan/103_1241_000042_000001_gen,spoof
parallel_wave_gan/1898_145724_000021_000000_gen,spoof
parallel_wave_gan/8797_294123_000033_000001_gen,spoof
parallel_wave_gan/6836_61803_000056_000000_gen,spoof
parallel_wave_gan/1355_39947_000013_000007_gen,spoof
parallel_wave_gan/1502_122615_000035_000002_gen,spoof
parallel_wave_gan/2196_170379_000007_000002_gen,spoof
parallel_wave_gan/1355_39947_000006_000009_gen,spoof
parallel_wave_gan/7505_258958_000020_000000_gen,spoof
parallel_wave_gan/8580_287364_000025_000000_gen,spoof
parallel_wave_gan/87_121553_000163_000000_gen,spoof
parallel_wave_gan/7505_258958_000029_000005_gen,spoof
parallel_wave_gan/7517_100437_000009_000001_gen,spoof
parallel_wave_gan/250_142276_000015_000014_gen,spoof
parallel_wave_gan/7447_91186_000029_000000_gen,spoof
parallel_wave_gan/3526_175658_000011_000008_gen,spoof
parallel_wave_gan/87_121553_000231_000000_gen,spoof
parallel_wave_gan/1841_179183_000020_000003_gen,spoof
parallel_wave_gan/6437_66173_000033_000002_gen,spoof
parallel_wave_gan/1355_39947_000005_000010_gen,spoof
parallel_wave_gan/2416_152139_000087_000000_gen,spoof
parallel_wave_gan/8108_274318_000005_000000_gen,spoof
parallel_wave_gan/4160_14187_000050_000000_gen,spoof
parallel_wave_gan/696_93314_000044_000005_gen,spoof
parallel_wave_gan/8238_283452_000030_000004_gen,spoof
parallel_wave_gan/3664_178355_000005_000001_gen,spoof
parallel_wave_gan/5652_39938_000015_000004_gen,spoof
parallel_wave_gan/7312_92432_000005_000000_gen,spoof
parallel_wave_gan/7402_90848_000056_000000_gen,spoof
parallel_wave_gan/226_122538_000029_000002_gen,spoof
